2024-05-28 21:14:50 [System, CPU Usage: 307.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [Registry, CPU Usage: 1.0 s., Memory Usage: 3.0 MB]
2024-05-28 21:14:50 [smss, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [csrss, CPU Usage: 4.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [wininit, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [services, CPU Usage: 6.3 s., Memory Usage: 3.0 MB]
2024-05-28 21:14:50 [lsass, CPU Usage: 3.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:14:50 [svchost, CPU Usage: 51.9 s., Memory Usage: 81.0 MB]
2024-05-28 21:14:50 [fontdrvhost, CPU Usage: 0.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [WUDFHost, CPU Usage: 0.7 s., Memory Usage: 2.0 MB]
2024-05-28 21:14:50 [winlogon, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:14:50 [dwm, CPU Usage: 114.6 s., Memory Usage: 62.0 MB]
2024-05-28 21:14:50 [IntelCpHDCPSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [IntelCpHeciSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [igfxCUIService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [NVDisplay.Container, CPU Usage: 15.2 s., Memory Usage: 5.0 MB]
2024-05-28 21:14:50 [svchost, CPU Usage: 1.3 s., Memory Usage: 7.0 MB]
2024-05-28 21:14:50 [Memory Compression, CPU Usage: 144.3 s., Memory Usage: 503.0 MB]
2024-05-28 21:14:50 [WmiPrvSE, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [wlanext, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [conhost, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [OneApp.IGCC.WinService, CPU Usage: 0.9 s., Memory Usage: 3.0 MB]
2024-05-28 21:14:50 [FMService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [DAX3API, CPU Usage: 1.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [Lenovo.Modern.ImController, CPU Usage: 2.3 s., Memory Usage: 6.0 MB]
2024-05-28 21:14:50 [LenovoUtilityService, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [esif_uf, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [OfficeClickToRun, CPU Usage: 1.3 s., Memory Usage: 5.0 MB]
2024-05-28 21:14:50 [LMS, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [MpDefenderCoreService, CPU Usage: 1.0 s., Memory Usage: 1.0 MB]
2024-05-28 21:14:50 [nvcontainer, CPU Usage: 33.3 s., Memory Usage: 16.0 MB]
2024-05-28 21:14:50 [RtkAudUService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [RstMwService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [MsMpEng, CPU Usage: 124.4 s., Memory Usage: 99.0 MB]
2024-05-28 21:14:50 [dasHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [jhi_service, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [dllhost, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [NisSrv, CPU Usage: 0.1 s., Memory Usage: 1.0 MB]
2024-05-28 21:14:50 [SgrmBroker, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:14:50 [SearchIndexer, CPU Usage: 4.2 s., Memory Usage: 8.0 MB]
2024-05-28 21:14:50 [sihost, CPU Usage: 1.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:14:50 [PresentationFontCache, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [FnHotkeyCapsLKNumLK, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [taskhostw, CPU Usage: 0.5 s., Memory Usage: 3.0 MB]
2024-05-28 21:14:50 [FnHotkeyUtility, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [ctfmon, CPU Usage: 3.8 s., Memory Usage: 7.0 MB]
2024-05-28 21:14:50 [unsecapp, CPU Usage: 0.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:14:50 [explorer, CPU Usage: 26.0 s., Memory Usage: 61.0 MB]
2024-05-28 21:14:50 [igfxEM, CPU Usage: 2.4 s., Memory Usage: 0.0 MB]
